web-scraper-order,web-scraper-start-url,data,moeda,valor,rit,convencional,circular centro,domingueira,turismo,data decreto,decreto
"1758065368-1","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","01/03/23","R$","6,00","6,00","6,00","0,00","0,00","50,00","28/02/23","306"
"1758065368-2","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","01/03/22","R$","5,50","5,50","5,50","5,00","*","50,00","28/02/22","278"
"1758065368-3","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","28/02/19","R$","4,50","4,50","4,50","4,00","*","50,00","26/02/19","247"
"1758065368-4","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","06/02/17","R$","4,25","4,25","4,25","3,00","*","45,00","02/02/17","413"
"1758065368-5","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","01/02/16","R$","3,70","3,70","3,70","2,50","2,50","40,00","29/01/16","80"
"1758065368-6","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","06/06/15","R$","3,30","3,30","3,30","2,00","1,50","35,00","03/06/15","519"
"1758065368-7","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","06/02/15","R$","3,30","3,30","3,30","2,00","1,50","35,00","05/02/15","116"
"1758065368-8","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","11/11/14","R$","2,85","2,85","2,85","1,80","1,50","30,00","10/11/14","1161"
"1758065368-9","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","01/07/13","R$","2,70","2,70","2,70","1,70","1,50","29,00","27/06/13","1001"
"1758065368-10","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","14/03/13","R$","2,85","2,85","2,85","1,70","1,50","29,00","13/03/13","481"
"1758065368-11","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","05/03/12","R$","2,60","2,60","2,60","1,60","1,00","27,00","01/03/12","299"
"1758065368-12","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","05/03/11","R$","2,50","2,50","2,50","1,50","1,00","25,00","28/02/11","501"
"1758065368-13","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","11/01/09","R$","2,20","2,20","2,20","1,20","1,00","20,00","08/01/09","50"
"1758065368-14","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","23/04/07","R$","1,90","1,90","1,90","1,00","1,00","16,00","19/04/07","387"
"1758065368-15","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","27/06/05","R$","1,80","1,80","1,80","1,00","1,00","15,00","23/06/05","1043"
"1758065368-16","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","23/01/05","R$","1,90","1,90","1,90","1,00","1,00","15,00","20/01/05","387"
"1758065368-17","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","09/04/04","R$","1,90","1,90","1,90","1,00","*","15,00","06/04/04","267"
"1758065368-18","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","01/03/04","R$","1,70","1,70","1,70","0,90","*","12,00","26/02/04","162"
"1758065368-19","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","27/01/04","R$","1,65","1,65","1,65","0,80","*","10,00","26/01/04","64"
"1758065368-20","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","25/01/04","R$","1,90","1,90","1,90","1,00","*","15,00","22/01/04","61"
"1758065368-21","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","14/05/03","R$","1,65","1,65","1,65","0,80","*","10,00","13/05/03","458"
"1758065368-22","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","23/02/03","R$","1,70","1,70","1,70","0,85","*","10,00","21/02/03","179"
"1758065368-23","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","10/11/02","R$","1,50","1,50","1,50","0,75","*","10,00","07/11/02","855"
"1758065368-24","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","07/07/02","R$","1,40","1,40","1,40","0,70","*","8,00","03/07/02","433"
"1758065368-25","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","03/02/02","R$","1,35","1,35","1,35","0,70","*","8,00","30/01/02","28"
"1758065368-26","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","08/07/01","R$","1,25","1,25","1,25","0,60","*","6,00","05/07/01","768"
"1758065368-27","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","21/01/01","R$","1,10","1,10","1,10","0,50","*","6,00","18/01/01","209"
"1758065368-28","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","20/02/00","R$","1,00","1,00","1,00","0,50","*","6,00","18/02/00","80"
"1758065368-29","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","15/08/99","R$","0,90","0,90","0,90","0,50","*","*","12/08/99","530"
"1758065368-30","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","25/04/99","R$","0,85","0,85","0,85","0,50","*","*","23/04/99","309"
"1758065368-31","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","26/10/97","R$","0,75","0,75","0,75","0,40","*","6,00","23/10/97","1053"
"1758065368-32","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","03/11/96","R$","0,65","0,65","0,65","0,30","*","5,00","31/10/96","800"
"1758065368-33","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","09/09/95","R$","0,55","0,55","0,55","0,30","*","5,00","04/09/95","730"
"1758065368-34","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","03/07/95","R$","0,50","0,50","0,50","0,25","*","*","26/06/95","501-A"
"1758065368-35","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","01/02/95","R$","0,45","0,45","0,45","0,25","*","*","01/02/95","167"
"1758065368-36","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","01/07/94","R$","0,40","0,40","0,40","0,20","*","*","27/06/94","462"
