web-scraper-order,web-scraper-start-url,Nº_Ato_resolução,Data do Ato,Data da Tarifa,Tarifa Técnica,Custo_km,IPK,Passageiros Pagantes Equivalentes,Quilometragem Média Mensal,Frota Operante
"1758065843-1","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","","","","","","","","",""
"1758065843-2","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","DIR/024/2025","28/08/2025","01/08/2025","8,141","13,2104","1,6227","11.390.760","7.019.656,603","1.177"
"1758065843-3","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","DIR/023/2025","28/05/2025","01/07/2025","7,4843","12,9098","1,7249","12.456.077","7.221.278,708","1.179"
"1758065843-4","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","DIR/022/2025","25/08/2025","01/06/2025","7,9164","13,6662","1,7263","11.500.509","6.661.900,125","1.174"
"1758065843-5","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","DIR/021/2025","25/08/2025","01/05/2025","7,5518","13,3347","1,7658","12.207.362","6.913.340,334","1.170"
"1758065843-6","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","DIR/020/2025","25/08/2025","01/04/2025","7,6105","13,7968","1,8129","11.981.168","6.608.995,888","1.168"
"1758065843-7","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","DIR/019/2025","25/08/2025","01/03/2025","8,2638","13,4824","1,6315","10.976.916","6.726.846,623","1.175"
"1758065843-8","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","DIR/013/2025","23/06/2025","01/02/2025","8,6679","13,3031","1,5347","9.803.379","6.387.626,398","1.164"
"1758065843-9","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","DIR/012/2025","16/06/2025","01/01/2025","8,0361","11,7125","1,4575","9.738.341","6.681.610,597","1.012"
"1758065843-10","https://www.urbs.curitiba.pr.gov.br/transporte/rede-integrada-de-transporte#34","DIR/011/2025","16/06/2025","01/12/2024","7,9551","12,0735","1,5177","1.025.767","6.758.548,377","1.169"
