"Ano,Bimestre,Funcao,Subfuncao,Despesas_Empenhadas_Bimestre,Despesas_Liquidadas_Bimestre"
"2014,1º Bimestre,LEGISLATIVA,AÇÃO LEGISLATIVA,12871064.3,6711020.99"
"2014,1º Bimestre,ESSENCIAL A JUSTIÇA,DEFESA DO INT. PUB. NO PROC JUDIC,336290.56,39711.85"
"2014,1º Bimestre,ESSENCIAL A JUSTIÇA,REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL,1018326.34,1018326.34"
"2014,1º Bimestre,ESSENCIAL A JUSTIÇA,ADMINISTRAÇÃO GERAL,3086741.86,3066741.86"
"2014,1º Bimestre,ADMINISTRAÇÃO,PLANEJAMENTO E ORÇAMENTO,0.0,0.0"
"2014,1º Bimestre,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,56997692.11,52532583.17"
"2014,1º Bimestre,ADMINISTRAÇÃO,TECNOLOGIA DA INFORMAÇÃO,8539962.78,3008065.01"
"2014,1º Bimestre,ADMINISTRAÇÃO,FORMAÇÃO DE RECURSOS HUMANOS,35910.29,5764.36"
"2014,1º Bimestre,ADMINISTRAÇÃO,ADMINISTRAÇÃO DE RECEITAS,736813.0,27747.9"
"2014,1º Bimestre,ADMINISTRAÇÃO,COMUNICAÇÃO SOCIAL,3499880.0,68937.0"
"2014,1º Bimestre,ADMINISTRAÇÃO,ASSISTENCIA A CRIANÇA E AO ADOLESCENTE,17500.0,9000.0"
"2014,1º Bimestre,SEGURANÇA PÚBLICA,ADMINISTRAÇÃO GERAL,11584122.08,11389225.36"
"2014,1º Bimestre,SEGURANÇA PÚBLICA,POLICIAMENTO,617693.7,99192.61"
"2014,1º Bimestre,SEGURANÇA PÚBLICA,DEFESA CIVIL,0.0,0.0"
"2014,1º Bimestre,SEGURANÇA PÚBLICA,INFORMAÇÃO E INTELIGÊNCIA.,25579.16,3243.03"
"2014,1º Bimestre,SEGURANÇA PÚBLICA,ASSISTÊNCIA A CRIANÇA E AD ADOLESCENTE,8999.99,0.0"
"2014,1º Bimestre,SEGURANÇA PÚBLICA,ASSISTÊNCIA COMUNITARIA,40089.73,3936.0"
"2014,1º Bimestre,ASSISTÊNCIA SOCIAL,ADMINISTRAÇÃO GERAL,2696437.93,195817.1"
"2014,1º Bimestre,ASSISTÊNCIA SOCIAL,COMUNICAÇÃO SOCIAL,0.0,0.0"
"2014,1º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA AO IDOSO,0.0,0.0"
"2014,1º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA AO PORTADOR DE DEFICIENCIA,75630.54,10865.27"
"2014,1º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA A CRIANÇA E AO ADOLESCENTE,3591292.09,1879209.51"
"2014,1º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA COMUNITARIA,13187601.26,9156998.97"
"2014,1º Bimestre,PREVIDÊNCIA SOCIAL,PREVIDENCIA DO ESTATUTÁRIO,82773129.74,82621885.64"
"2014,1º Bimestre,SAÚDE,ATENÇÃO BÁSICA,85802233.8,77860827.43"
"2014,1º Bimestre,SAÚDE,ASSISTENCIA HOSPITALAR E AMBULATORIAL,105446055.6,104491294.89"
"2014,1º Bimestre,SAÚDE,VIGILANCIA SANITARIA,2847052.76,1848449.0"
"2014,1º Bimestre,SAÚDE,VIGILANCIA EPIDEMIOLÓGIA,1195813.01,1183503.01"
"2014,1º Bimestre,TRABALHO,ADMINISTRAÇÃO GERAL,875737.58,592714.25"
"2014,1º Bimestre,TRABALHO,FOMENTO AO TRABALHO,0.0,0.0"
"2014,1º Bimestre,EDUCAÇÃO,ENSINO FUNDAMENTAL,114969574.63,87284090.17"
"2014,1º Bimestre,EDUCAÇÃO,EDUCAÇÃO INFANTIL,46226451.38,33350447.66"
"2014,1º Bimestre,CULTURA,ADMINISTRAÇÃO GERAL,7240722.66,6718483.03"
"2014,1º Bimestre,CULTURA,COMUNICAÇÃO SOCIAL,50000.0,0.0"
"2014,1º Bimestre,CULTURA,ASSISTÊNCIA A CRIANÇA E AO ADOLESCENTE,36500.0,2183.15"
"2014,1º Bimestre,CULTURA,PAT. HISTORICO, ARTÍSTICO E ARQUEOLÓGICO,1120.0,0.0"
"2014,1º Bimestre,CULTURA,DIFUSÃO CULTURAL,1429872.23,77948.51"
"2014,1º Bimestre,DIREITO DA CIDADANIA,DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS,0.0,0.0"
"2014,1º Bimestre,URBANISMO,NORMATIZAÇÃO E FISCALIZAÇÃO,569640.54,225514.81"
"2014,1º Bimestre,URBANISMO,INFRA ESTRUTURA URBANA,25776422.63,3037454.32"
"2014,1º Bimestre,URBANISMO,SERVIÇOS URBANOS,17490871.31,3223359.72"
"2014,1º Bimestre,URBANISMO,TRANSPORTES COLETIVOS URBANOS,130660016.02,129338372.9"
