DATA,TOTAL S/ ISENTOS,Passageiros Isentos
1 de jan. de 2024,48545,13621
2 de jan. de 2024,270686,56704
3 de jan. de 2024,340029,73476
4 de jan. de 2024,346214,72655
5 de jan. de 2024,354384,77273
6 de jan. de 2024,186276,40147
7 de jan. de 2024,91972,23802
8 de jan. de 2024,382915,78671
9 de jan. de 2024,382720,73382
10 de jan. de 2024,411510,82653
11 de jan. de 2024,402914,73970
12 de jan. de 2024,388071,73941
13 de jan. de 2024,194780,39270
14 de jan. de 2024,95762,23909
15 de jan. de 2024,412701,77099
16 de jan. de 2024,417407,76761
17 de jan. de 2024,410367,75083
18 de jan. de 2024,419543,77162
19 de jan. de 2024,414368,75536
20 de jan. de 2024,197473,38911
21 de jan. de 2024,94940,23857
22 de jan. de 2024,403361,72578
23 de jan. de 2024,420225,75678
24 de jan. de 2024,432564,81526
25 de jan. de 2024,418590,72082
26 de jan. de 2024,421528,79742
27 de jan. de 2024,205672,39654
28 de jan. de 2024,94635,23798
29 de jan. de 2024,425446,80092
30 de jan. de 2024,445177,83953
31 de jan. de 2024,438522,82843
1 de fev. de 2024,446321,83986
2 de fev. de 2024,427245,83581
3 de fev. de 2024,201071,41396
4 de fev. de 2024,89087,23097
5 de fev. de 2024,481410,94304
6 de fev. de 2024,466684,90591
7 de fev. de 2024,470935,95110
8 de fev. de 2024,466223,87176
9 de fev. de 2024,440465,84185
10 de fev. de 2024,195708,41117
11 de fev. de 2024,102759,24005
12 de fev. de 2024,208527,41185
13 de fev. de 2024,145244,26592
14 de fev. de 2024,350242,60362
15 de fev. de 2024,455220,84845
16 de fev. de 2024,449641,85678
17 de fev. de 2024,205172,41651
18 de fev. de 2024,79164,19881
19 de fev. de 2024,470091,86558
20 de fev. de 2024,482675,88101
21 de fev. de 2024,482458,89056
22 de fev. de 2024,484958,87204
23 de fev. de 2024,465169,84296
24 de fev. de 2024,204619,40223
25 de fev. de 2024,92116,23576
26 de fev. de 2024,484725,85636
27 de fev. de 2024,497632,89082
28 de fev. de 2024,491009,90098
29 de fev. de 2024,479328,85452
1 de mar. de 2024,477651,90641
2 de mar. de 2024,207284,43475
3 de mar. de 2024,93334,24350
4 de mar. de 2024,491707,89901
5 de mar. de 2024,516134,92048
6 de mar. de 2024,512854,99053
7 de mar. de 2024,507733,96003
8 de mar. de 2024,484533,90469
9 de mar. de 2024,209385,41940
10 de mar. de 2024,95568,24859
11 de mar. de 2024,509554,93605
12 de mar. de 2024,512964,92116
13 de mar. de 2024,514693,93259
14 de mar. de 2024,507873,86969
15 de mar. de 2024,490374,85251
16 de mar. de 2024,209604,39818
17 de mar. de 2024,92106,22914
18 de mar. de 2024,502649,87014
19 de mar. de 2024,506763,87241
20 de mar. de 2024,516572,93349
21 de mar. de 2024,508091,83246
22 de mar. de 2024,488708,84167
23 de mar. de 2024,210537,39289
24 de mar. de 2024,94490,24008
25 de mar. de 2024,507750,89814
26 de mar. de 2024,516102,93285
27 de mar. de 2024,522280,98505
28 de mar. de 2024,455597,84715
29 de mar. de 2024,121464,24972
30 de mar. de 2024,181550,39476
31 de mar. de 2024,80481,20566
1 de abr. de 2024,493161,88796
2 de abr. de 2024,510536,92722
3 de abr. de 2024,518637,97668
4 de abr. de 2024,512064,91642
5 de abr. de 2024,492722,91825
6 de abr. de 2024,214739,42649
7 de abr. de 2024,96589,24409
8 de abr. de 2024,476839,81856
9 de abr. de 2024,523239,96434
10 de abr. de 2024,518938,97635
11 de abr. de 2024,512515,91083
12 de abr. de 2024,493705,86685
13 de abr. de 2024,213361,41529
14 de abr. de 2024,75448,16407
15 de abr. de 2024,484603,79055
16 de abr. de 2024,496725,84723
17 de abr. de 2024,513795,89358
18 de abr. de 2024,513010,88479
19 de abr. de 2024,487796,86196
20 de abr. de 2024,211952,41005
21 de abr. de 2024,97219,24701
22 de abr. de 2024,494215,86025
23 de abr. de 2024,509593,87914
24 de abr. de 2024,511497,91570
25 de abr. de 2024,501212,84781
26 de abr. de 2024,494237,87944
27 de abr. de 2024,213477,40658
28 de abr. de 2024,90910,22553
29 de abr. de 2024,495780,88161
30 de abr. de 2024,501141,92409
1 de mai. de 2024,122998,29500
2 de mai. de 2024,502053,91745
3 de mai. de 2024,487986,90886
4 de mai. de 2024,219831,42904
5 de mai. de 2024,97991,24452
