Site,Data,PASSAGEIROS PREVISTO,IPK,TARIFA TÉCNICA
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/3_2022_Marco.pdf,01/03/22,11623835,1.7801,6.3694
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/4_2022_Abril.pdf,01/04/22,10.772.278.69,1.7882,7.0046
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/5_2022_Maio.pdf,01/05/22,12.248.381.04,1.9016,6.2613
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/6_2022_Junho.pdf,01/06/22,11.195.588.59,1.7956,6.8717
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/7_2022_Julho.pdf,01/07/22,11.961.703.21,1.8737,6.6234
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/8_2022_Agosto.pdf,01/08/22,11997602,1.8165,6.6687
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/9_2022_Setembro.pdf,01/09/22,11298210,1.8347,6.6336
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/10_2022_Outubro.pdf,01/10/22,11632034,1.8327,6.4653
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/11_2022_Novembro.pdf,01/11/22,11344086,1.8515,6562
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/12_2022_Dezembro.pdf,01/12/22,10884884,1.6648,7.4991
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/1_2023_Janeiro.pdf,01/01/23,10377446,1.6565,7.2946
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/2_2023_Fevereiro.pdf,01/02/23,9228832,1.6271,8.3456
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/3_2023_Marco.pdf,01/03/23,12061684,1.8223,6.8906
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/4_2023_Abril.pdf,01/04/23,10938041,1.8374,7.3224
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/5_2023_Maio.pdf,01/05/23,12317970,1.8828,6.4805
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/6_2023_Junho.pdf,01/06/23,11521589,1.8257,6.6904
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/7_2023_Julho.pdf,01/07/23,11732312,1.8119,6.5656
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/8_2023_Agosto.pdf,01/08/23,11612832,1.7320,6.7015
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/9_2023_Setembro.pdf,01/09/23,11147431,1.8191,7.1884
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/10_2023_Outubro.pdf,05/10/23,11722646,1.8165,6.8874
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/11_2023_Novembro.pdf,01/11/23,11066223,1.7743,7.2897
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/12_2023_Dezembro.pdf,01/12/23,NaN,NaN,NaN
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/1_2024_Janeiro.pdf,01/01/24,10727096,1.6973,7.1666
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/2_2024_Fevereiro.pdf,01/02/24,9343277,1.5466,8.3885
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/3_2024_Mar%C3%A7o.pdf,01/03/24,11107794,1.7317,7.0338
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/4_2024_Abril.pdf,01/04/24,12177070,1.8712,6.6041
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/5_2024_Maio.pdf,01/05/24,11822798,1.8139,7.1593
https://www.urbs.curitiba.pr.gov.br/pdf/institucional/transparencia/definicao-custo-km/6_2024_Junho.pdf,01/06/24,NaN,NaN,NaN
