Year,Municipality ID,Municipality,Population
2002,2611606,Recife,1449135
2002,4106902,Curitiba,1644600
2003,2611606,Recife,1461320
2003,4106902,Curitiba,1671194
2004,2611606,Recife,1486869
2004,4106902,Curitiba,1727010
2005,2611606,Recife,1501008
2005,4106902,Curitiba,1757904
2006,2611606,Recife,1515052
2006,4106902,Curitiba,1788559
2008,2611606,Recife,1549983
2008,4106902,Curitiba,1828095
2009,2611606,Recife,1561659
2009,4106902,Curitiba,1851215
2011,2611606,Recife,1546516
2011,4106902,Curitiba,1764541
2012,2611606,Recife,1555039
2012,4106902,Curitiba,1776761
2013,2611606,Recife,1599513
2013,4106902,Curitiba,1848946
2014,2611606,Recife,1608488
2014,4106902,Curitiba,1864416
2015,2611606,Recife,1617183
2015,4106902,Curitiba,1879355
2016,2611606,Recife,1625583
2016,4106902,Curitiba,1893997
2017,2611606,Recife,1633697
2017,4106902,Curitiba,1908359
2018,2611606,Recife,1637834
2018,4106902,Curitiba,1917185
2019,2611606,Recife,1645727
2019,4106902,Curitiba,1933105
2020,2611606,Recife,1653461
2020,4106902,Curitiba,1948626
2021,2611606,Recife,1661017
2021,4106902,Curitiba,1963726
2024,2611606,Recife,1587707
2024,4106902,Curitiba,1829225
