date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,"24,9",21,33,,,,10,,1010,
2020-01-02 00:00:00,"21,7",18,"26,5",,,,"10,4",,"1010,9",
2020-01-03 00:00:00,"19,4",17,23,,,,"17,7",,"1015,1",
2020-01-04 00:00:00,"18,6",17,23,,,,"10,6",,"1013,8",
2020-01-05 00:00:00,"20,3",17,25,,,,"7,7",,"1011,3",
2020-01-06 00:00:00,"23,6",19,29,,,,"8,8",,"1011,2",
2020-01-07 00:00:00,"23,7",21,"29,1",,,,"9,3",,"1011,9",
2020-01-08 00:00:00,"23,1","20,8",28,,,,10,,"1013,4",
2020-01-09 00:00:00,"23,8",21,31,,,,"10,1",,"1014,5",
2020-01-10 00:00:00,"23,9",21,30,,,,"6,9",,"1013,7",
2020-01-11 00:00:00,"23,8",21,30,,,,"6,1",,"1013,5",
2020-01-12 00:00:00,"22,6",20,28,,,,"8,8",,"1016,2",
2020-01-13 00:00:00,"21,5",18,26,,,,"9,9",,"1017,6",
2020-01-14 00:00:00,"20,9",17,25,,,,10,,"1018,2",
2020-01-15 00:00:00,23,18,29,,,,"7,1",,"1015,5",
2020-01-16 00:00:00,"23,4",19,29,,,,9,,"1016,4",
2020-01-17 00:00:00,"17,5",16,"20,7",,,,"12,5",,"1021,9",
2020-01-18 00:00:00,"17,9",16,20,,,,"10,1",,"1022,2",
2020-01-19 00:00:00,"19,9",16,25,,,,"9,8",,"1019,4",
2020-01-20 00:00:00,"21,1",18,25,,,,"11,1",,"1016,5",
2020-01-21 00:00:00,"20,5",17,24,,,,"10,4",,"1013,9",
2020-01-22 00:00:00,"18,4",16,"20,3",,,,"12,9",,"1013,4",
2020-01-23 00:00:00,18,"16,6",20,,,,"12,9",,"1012,2",
2020-01-24 00:00:00,"18,4","15,9",22,,,,"18,2",,"1011,3",
2020-01-25 00:00:00,"21,1","15,5",27,,,,"6,6",,"1012,7",
2020-01-26 00:00:00,"24,1",18,30,,,,"6,9",,"1013,5",
2020-01-27 00:00:00,"25,3","20,1",31,,,,"7,8",,"1013,8",
2020-01-28 00:00:00,"22,2",20,27,,,,"11,2",,1015,
2020-01-29 00:00:00,"23,1",19,29,,,,"9,8",,"1015,4",
2020-01-30 00:00:00,"22,8","20,7",28,,,,"9,5",,"1014,7",
2020-01-31 00:00:00,24,"20,1",29,,,,"12,2",,"1014,7",
